,Name,Score,Category,Price_Range
489,10. Al Hatab Bakery,9.2,Bakery,$$
490,11. BLANCA,9.2,Pizza,$
491,12. Armin,9.2,Eastern European,$
492,13. Dunkin' Donuts,9.2,Donuts,$
493,14. Al Hatab Bakery,9.1,Bakery,$
494,15. dr.CAFE COFFEE,9.1,Café,$$
495,16. كبدون,9.1,Breakfast,$$
496,17. Spread,9.1,BBQ,$
497,18. La Casa Pasta,9.1,Italian,$
498,19. Mama Noura,9.1,Shawarma Restaurant,$
499,20. Al Hatab Bakery,9.1,Bakery,$
500,21. Dunkin' Donuts,9.1,Donuts,$
501,22. دوار السعادة,9.1,Breakfast,$
502,23. Mama Noura,9.0,Shawarma Restaurant,$
503,24. Dunkin Dounts,9.0,Donuts,$
504,25. دانكن دونتس,9.0,Donuts,$
505,26. أفران الحطب || Alhatab Bakery,9.0,Bakery,$
506,1. Knoll Coffee Roasters,9.6,Café,$
507,2. ساين,9.6,Burgers,$
508,3. Al Hatab Bakery,9.5,Bakery,$
509,4. Red Box,9.5,Restaurant,$
510,5. WHJ CAFE,9.3,Café,$
511,6. Al Afrah Restaurant,9.3,Breakfast,$
512,7. Mama Noura,9.3,Shawarma Restaurant,$
513,8. DIA BAKERY,9.3,Bakery,$
514,9. Urth Caffé,9.2,Café,$
515,10. Al Hatab Bakery,9.2,Bakery,$$
516,11. BLANCA,9.2,Pizza,$
517,12. Armin,9.2,Eastern European,$
518,13. Dunkin' Donuts,9.2,Donuts,$
519,14. Al Hatab Bakery,9.1,Bakery,$
520,15. dr.CAFE COFFEE,9.1,Café,$$
521,16. كبدون,9.1,Breakfast,$$
522,17. Spread,9.1,BBQ,$
523,18. La Casa Pasta,9.1,Italian,$
524,19. Mama Noura,9.1,Shawarma Restaurant,$
525,20. Al Hatab Bakery,9.1,Bakery,$
526,21. Dunkin' Donuts,9.1,Donuts,$
527,22. دوار السعادة,9.1,Breakfast,$
528,23. Mama Noura,9.0,Shawarma Restaurant,$
529,24. Dunkin Dounts,9.0,Donuts,$
530,25. دانكن دونتس,9.0,Donuts,$
531,26. أفران الحطب || Alhatab Bakery,9.0,Bakery,$
532,1. Knoll Coffee Roasters,9.6,Café,$
533,2. ساين,9.6,Burgers,$
534,3. Al Hatab Bakery,9.5,Bakery,$
535,4. Red Box,9.5,Restaurant,$
536,5. WHJ CAFE,9.3,Café,$
537,6. Al Afrah Restaurant,9.3,Breakfast,$
538,7. Mama Noura,9.3,Shawarma Restaurant,$
539,8. DIA BAKERY,9.3,Bakery,$
540,9. Urth Caffé,9.2,Café,$
541,10. Al Hatab Bakery,9.2,Bakery,$$
542,11. BLANCA,9.2,Pizza,$
543,12. Armin,9.2,Eastern European,$
544,13. Dunkin' Donuts,9.2,Donuts,$
545,14. Al Hatab Bakery,9.1,Bakery,$
546,15. dr.CAFE COFFEE,9.1,Café,$$
547,16. كبدون,9.1,Breakfast,$$
548,17. Spread,9.1,BBQ,$
549,18. La Casa Pasta,9.1,Italian,$
550,19. Mama Noura,9.1,Shawarma Restaurant,$
551,20. Al Hatab Bakery,9.1,Bakery,$
552,21. Dunkin' Donuts,9.1,Donuts,$
553,22. دوار السعادة,9.1,Breakfast,$
554,23. Mama Noura,9.0,Shawarma Restaurant,$
555,24. Dunkin Dounts,9.0,Donuts,$
556,25. دانكن دونتس,9.0,Donuts,$
557,26. أفران الحطب || Alhatab Bakery,9.0,Bakery,$
558,1. Knoll Coffee Roasters,9.6,Café,$
559,2. ساين,9.6,Burgers,$
560,3. Al Hatab Bakery,9.5,Bakery,$
561,4. Red Box,9.5,Restaurant,$
562,5. WHJ CAFE,9.3,Café,$
563,6. Al Afrah Restaurant,9.3,Breakfast,$
564,7. Mama Noura,9.3,Shawarma Restaurant,$
565,8. DIA BAKERY,9.3,Bakery,$
566,9. Urth Caffé,9.2,Café,$
567,10. Al Hatab Bakery,9.2,Bakery,$$
568,11. BLANCA,9.2,Pizza,$
569,12. Armin,9.2,Eastern European,$
570,13. Dunkin' Donuts,9.2,Donuts,$
571,14. Al Hatab Bakery,9.1,Bakery,$
572,15. dr.CAFE COFFEE,9.1,Café,$$
573,16. كبدون,9.1,Breakfast,$$
574,17. Spread,9.1,BBQ,$
575,18. La Casa Pasta,9.1,Italian,$
576,19. Mama Noura,9.1,Shawarma Restaurant,$
577,20. Al Hatab Bakery,9.1,Bakery,$
578,21. Dunkin' Donuts,9.1,Donuts,$
579,22. دوار السعادة,9.1,Breakfast,$
580,23. Mama Noura,9.0,Shawarma Restaurant,$
581,24. Dunkin Dounts,9.0,Donuts,$
582,25. دانكن دونتس,9.0,Donuts,$
583,26. أفران الحطب || Alhatab Bakery,9.0,Bakery,$
584,1. Knoll Coffee Roasters,9.6,Café,$
585,2. ساين,9.6,Burgers,$
586,3. Al Hatab Bakery,9.5,Bakery,$
587,4. Red Box,9.5,Restaurant,$
588,5. WHJ CAFE,9.3,Café,$
589,6. Al Afrah Restaurant,9.3,Breakfast,$
590,7. Mama Noura,9.3,Shawarma Restaurant,$
591,8. DIA BAKERY,9.3,Bakery,$
592,9. Urth Caffé,9.2,Café,$
593,10. Al Hatab Bakery,9.2,Bakery,$$
594,11. BLANCA,9.2,Pizza,$
595,12. Armin,9.2,Eastern European,$
596,13. Dunkin' Donuts,9.2,Donuts,$
597,14. Al Hatab Bakery,9.1,Bakery,$
598,15. dr.CAFE COFFEE,9.1,Café,$$
599,16. كبدون,9.1,Breakfast,$$
600,17. Spread,9.1,BBQ,$
601,18. La Casa Pasta,9.1,Italian,$
602,19. Mama Noura,9.1,Shawarma Restaurant,$
603,20. Al Hatab Bakery,9.1,Bakery,$
604,21. Dunkin' Donuts,9.1,Donuts,$
605,22. دوار السعادة,9.1,Breakfast,$
606,23. Mama Noura,9.0,Shawarma Restaurant,$
607,24. Dunkin Dounts,9.0,Donuts,$
608,25. دانكن دونتس,9.0,Donuts,$
609,26. أفران الحطب || Alhatab Bakery,9.0,Bakery,$
610,1. Coffee Maliha,9.4,Café,$
611,2. ساين,9.4,Burgers,$
612,3. محمصة اليوم الثامن,9.4,Café,$
613,4. Less Is More,9.3,Café,$
614,5. Saheel Cafe,9.2,Café,$
615,6. Al Hatab Bakery,9.2,Bakery,$
616,7. TUL CAFE,9.2,Café,$
617,8. خُوصَة,9.2,Café,$
618,9. مطاعم ومطابخ باخلعه- مندي ومكتوم,9.2,Middle Eastern,$$
619,10. البيك,9.2,Fried Chicken,$
620,11. Deers Cafe,9.2,Café,$
621,12. المذاق المغربي,9.1,Café,$
622,13. مطعم خندلة,9.1,Turkish,$$
623,14. Maqloba,9.0,Restaurant,$
624,15. Albaik,9.0,Fried Chicken,$
625,16. مضغوط تهامة,9.0,Fried Chicken,$$
626,1. Coffee Maliha,9.4,Café,$
627,2. ساين,9.4,Burgers,$
628,3. محمصة اليوم الثامن,9.4,Café,$
629,4. Less Is More,9.3,Café,$
630,5. Saheel Cafe,9.2,Café,$
631,6. Al Hatab Bakery,9.2,Bakery,$
632,7. TUL CAFE,9.2,Café,$
633,8. خُوصَة,9.2,Café,$
634,9. مطاعم ومطابخ باخلعه- مندي ومكتوم,9.2,Middle Eastern,$$
635,10. البيك,9.2,Fried Chicken,$
636,11. Deers Cafe,9.2,Café,$
637,12. المذاق المغربي,9.1,Café,$
638,13. مطعم خندلة,9.1,Turkish,$$
639,14. Maqloba,9.0,Restaurant,$
640,15. Albaik,9.0,Fried Chicken,$
641,16. مضغوط تهامة,9.0,Fried Chicken,$$
642,1. Coffee Maliha,9.4,Café,$
643,2. ساين,9.4,Burgers,$
644,3. محمصة اليوم الثامن,9.4,Café,$
645,4. Less Is More,9.3,Café,$
646,5. Saheel Cafe,9.2,Café,$
647,6. Al Hatab Bakery,9.2,Bakery,$
648,7. TUL CAFE,9.2,Café,$
649,8. خُوصَة,9.2,Café,$
650,9. مطاعم ومطابخ باخلعه- مندي ومكتوم,9.2,Middle Eastern,$$
651,10. البيك,9.2,Fried Chicken,$
652,11. Deers Cafe,9.2,Café,$
653,12. المذاق المغربي,9.1,Café,$
654,13. مطعم خندلة,9.1,Turkish,$$
655,14. Maqloba,9.0,Restaurant,$
656,15. Albaik,9.0,Fried Chicken,$
657,16. مضغوط تهامة,9.0,Fried Chicken,$$
658,1. Coffee Maliha,9.4,Café,$
659,2. ساين,9.4,Burgers,$
660,3. محمصة اليوم الثامن,9.4,Café,$
661,4. Less Is More,9.3,Café,$
662,5. Saheel Cafe,9.2,Café,$
663,6. Al Hatab Bakery,9.2,Bakery,$
664,7. TUL CAFE,9.2,Café,$
665,8. خُوصَة,9.2,Café,$
666,9. مطاعم ومطابخ باخلعه- مندي ومكتوم,9.2,Middle Eastern,$$
667,10. البيك,9.2,Fried Chicken,$
668,11. Deers Cafe,9.2,Café,$
669,12. المذاق المغربي,9.1,Café,$
670,13. مطعم خندلة,9.1,Turkish,$$
671,14. Maqloba,9.0,Restaurant,$
672,15. Albaik,9.0,Fried Chicken,$
673,16. مضغوط تهامة,9.0,Fried Chicken,$$
674,1. Coffee Maliha,9.4,Café,$
675,2. ساين,9.4,Burgers,$
676,3. محمصة اليوم الثامن,9.4,Café,$
677,4. Less Is More,9.3,Café,$
678,5. Saheel Cafe,9.2,Café,$
679,6. Al Hatab Bakery,9.2,Bakery,$
680,7. TUL CAFE,9.2,Café,$
681,8. خُوصَة,9.2,Café,$
682,9. مطاعم ومطابخ باخلعه- مندي ومكتوم,9.2,Middle Eastern,$$
683,10. البيك,9.2,Fried Chicken,$
684,11. Deers Cafe,9.2,Café,$
685,12. المذاق المغربي,9.1,Café,$
686,13. مطعم خندلة,9.1,Turkish,$$
687,14. Maqloba,9.0,Restaurant,$
688,15. Albaik,9.0,Fried Chicken,$
689,16. مضغوط تهامة,9.0,Fried Chicken,$$
690,1. Coffee Maliha,9.4,Café,$
691,2. ساين,9.4,Burgers,$
692,3. محمصة اليوم الثامن,9.4,Café,$
693,4. Less Is More,9.3,Café,$
694,5. Saheel Cafe,9.2,Café,$
695,6. Al Hatab Bakery,9.2,Bakery,$
696,7. TUL CAFE,9.2,Café,$
697,8. خُوصَة,9.2,Café,$
698,9. مطاعم ومطابخ باخلعه- مندي ومكتوم,9.2,Middle Eastern,$$
699,10. البيك,9.2,Fried Chicken,$
700,11. Deers Cafe,9.2,Café,$
701,12. المذاق المغربي,9.1,Café,$
702,13. مطعم خندلة,9.1,Turkish,$$
703,14. Maqloba,9.0,Restaurant,$
704,15. Albaik,9.0,Fried Chicken,$
705,16. مضغوط تهامة,9.0,Fried Chicken,$$
706,1. Coffee Maliha,9.4,Café,$
707,2. ساين,9.4,Burgers,$
708,3. محمصة اليوم الثامن,9.4,Café,$
709,4. Less Is More,9.3,Café,$
710,5. Saheel Cafe,9.2,Café,$
711,6. Al Hatab Bakery,9.2,Bakery,$
712,7. TUL CAFE,9.2,Café,$
